UNITID,LATITUDE,LONGITUDE,ADM_RATE_ALL,PPTUG_EF,SAT_AVG_ALL,COSTT4_A,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,MEDIAN_HH_INC,MN_EARN_WNE_INDEP0_P10,MN_EARN_WNE_INDEP1_P10,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,year
176080,33.454852,-88.790139,0.76116789970068,0.0916,1228.0,25795.0,2,9220.0,24900.0,46465.5,48300.0,44200.0,0.7333,0.1663,0.0368,0.0161,0.0055,0.0008,0.0242,0.011,0.0059,2022
176372,31.32661,-89.331236,0.95791281941163,0.1492,1135.0,24119.0,2,9204.0,11204.0,46990.98,43000.0,41900.0,0.6024,0.2869,0.0392,0.0148,0.0035,0.0011,0.0376,0.0145,0.0,2022
176479,31.305264,-89.291815,0.57446808510638,0.1173,1217.0,23738.0,1,14100.0,14100.0,45401.66,37700.0,42800.0,0.6107,0.2827,0.024,0.0128,0.0031,0.0,0.0,0.0505,0.0163,2022
176628,38.91339,-94.591758,0.68003866602223,0.0831,1050.0,31636.0,1,21740.0,21740.0,67638.05,47500.0,52600.0,0.5005,0.2272,0.1862,0.024,0.007,0.006,0.03,0.019,0.0,2022
176947,39.150497,-92.685253,0.98970588235294,0.0096,1058.0,41884.0,1,26470.0,26470.0,49478.5,40100.0,38600.0,0.6343,0.1129,0.0936,0.0114,0.007,0.0,0.0569,0.0717,0.0122,2022
177144,40.128993,-91.529374,0.92544987146529,0.044,1102.0,41119.0,1,28495.0,28495.0,52894.01,40700.0,35500.0,0.6667,0.1571,0.0726,0.0095,0.0107,0.0095,0.0369,0.0357,0.0012,2022
177214,37.219681,-93.286192,0.65418163160595,0.0194,1249.0,42802.0,1,32430.0,32430.0,45736.92,40700.0,32700.0,0.7709,0.0336,0.0187,0.0194,0.009,0.0075,0.0276,0.0694,0.044,2022
177418,38.642697,-90.315712,0.78114478114478,0.0991,1100.0,42135.0,1,28200.0,28200.0,60924.15,40400.0,51400.0,0.628,0.2607,0.0229,0.0137,0.0015,0.0015,0.0366,0.0168,0.0183,2022
177542,39.729015,-91.39094,0.65050505050505,0.1215,1116.0,36584.0,1,24500.0,24500.0,48193.05,36000.0,41700.0,0.7201,0.07,0.0516,0.0129,0.0018,0.0037,0.0184,0.0847,0.0368,2022
177968,38.785425,-90.501286,0.74843517138599,0.1394,1138.0,31101.0,1,18640.0,18640.0,68730.21,44300.0,52100.0,0.6177,0.1285,0.0502,0.0144,0.0054,0.0072,0.03,0.0894,0.0572,2022
178059,38.644774,-90.505998,0.91537812763564,0.4286,1132.0,43856.0,1,27166.0,27166.0,70678.19,48700.0,55000.0,0.6415,0.1365,0.078,0.0334,0.0055,0.0,0.0307,0.0272,0.0471,2022
178244,38.641526,-90.462586,0.61802575107296,0.143,1124.0,41811.0,1,30548.0,30548.0,62761.71,42000.0,34700.0,0.7547,0.131,0.0086,0.014,0.0166,0.0027,0.0166,0.0366,0.0193,2022
178341,37.095155,-94.461689,0.96873156342182,0.2399,1083.0,16181.0,2,7244.0,14836.0,46217.0,39800.0,36300.0,0.6972,0.0768,0.0868,0.0284,0.039,0.0058,0.0195,0.0245,0.022,2022
178369,39.108522,-93.190654,0.65883859948761,0.0332,970.0,35117.0,1,22000.0,22000.0,56022.44,39200.0,30200.0,0.3469,0.1555,0.0995,0.0076,0.0028,0.0124,0.0401,0.311,0.0242,2022
178396,38.94531,-92.328843,0.76545126715416,0.0546,1263.0,27518.0,2,11475.0,30450.0,66484.66,54900.0,71400.0,0.788,0.0647,0.0524,0.0282,0.0017,0.001,0.0462,0.0107,0.0071,2022
178402,39.034179,-94.582141,0.7598147775317,0.1551,1239.0,22643.0,2,10599.0,26235.0,63187.36,59500.0,54200.0,0.526,0.1303,0.126,0.1009,0.0031,0.0007,0.0506,0.043,0.0194,2022
178411,37.953426,-91.775583,0.85396710645219,0.1083,1345.0,23352.0,2,10813.0,29097.0,59935.86,73600.0,63800.0,0.8047,0.0311,0.0512,0.0429,0.0037,0.0,0.0344,0.0206,0.0115,2022
178420,38.710312,-90.311091,0.56614276358873,0.2912,1225.0,24972.0,2,11214.0,28532.0,64068.51,48300.0,50400.0,0.6226,0.1665,0.0357,0.0493,0.003,0.0007,0.0393,0.0219,0.061,2022
178615,40.188267,-92.581658,0.6098820058997,0.0398,1278.0,21858.0,2,8689.0,16410.0,64318.95,50700.0,46300.0,0.786,0.0292,0.0341,0.0268,0.0015,0.0006,0.0353,0.079,0.0075,2022
178624,40.351692,-94.883339,0.85580338116209,0.0809,1104.0,20745.0,2,8852.0,14919.0,55791.06,44300.0,38100.0,0.8305,0.0441,0.0405,0.0078,0.0021,0.0008,0.0347,0.0252,0.0143,2022
178697,36.616019,-93.238174,0.20509259259259,0.0116,1133.0,31428.0,1,19960.0,19960.0,46804.8,35200.0,36400.0,0.8576,0.0136,0.0354,0.0123,0.0048,0.0007,0.0341,0.0198,0.0218,2022
179043,39.032318,-94.573003,0.66657018813314,0.0776,1139.0,53456.0,1,40480.0,40480.0,68699.32,55000.0,63100.0,0.6221,0.0963,0.1489,0.0359,0.0042,0.0016,0.037,0.0198,0.0344,2022
179159,38.636801,-90.2351,0.70047185485478,0.091,1355.0,63757.0,1,48824.0,48824.0,72169.74,61900.0,83100.0,0.6247,0.0737,0.0781,0.1283,0.0012,0.0007,0.0477,0.0361,0.0095,2022
179326,37.602425,-93.407056,0.96211251435132,0.22,1101.0,36077.0,1,26128.0,26128.0,49841.76,37700.0,36900.0,0.7518,0.0465,0.0382,0.01,0.0065,0.0029,0.0247,0.0218,0.0976,2022
179548,38.95204,-92.319204,0.63663220088626,0.1051,1086.0,37566.0,1,24570.0,24570.0,61398.11,38000.0,51900.0,0.6528,0.0733,0.0269,0.0171,0.0073,0.0,0.0807,0.0024,0.1394,2022
179566,37.199258,-93.281281,0.93851531976146,0.1566,1146.0,22720.0,2,8294.0,16498.0,56273.4,45500.0,40700.0,0.8044,0.0366,0.0445,0.0181,0.003,0.0013,0.0392,0.0239,0.0291,2022
179867,38.647929,-90.310604,0.13001724445501,0.0506,1524.0,79586.0,1,58866.0,58866.0,79298.58,83800.0,96400.0,0.4639,0.0873,0.1107,0.1912,0.0013,0.0014,0.0598,0.0652,0.0192,2022
179894,38.588875,-90.345151,0.59448332647179,0.1917,1166.0,44508.0,1,28700.0,28700.0,66464.45,44800.0,53400.0,0.6244,0.1401,0.0675,0.0365,0.0009,0.0013,0.0468,0.0258,0.0567,2022
179955,39.247844,-94.413126,0.4700427960057,0.0116,1189.0,49283.0,1,19310.0,19310.0,66156.47,50300.0,56100.0,0.7086,0.0796,0.0886,0.0103,0.0051,0.0051,0.0501,0.0321,0.0205,2022
180081,45.938145,-112.509365,0.89836888331242,0.1474,1172.0,15702.0,2,3590.0,9390.0,44236.75,59400.0,42400.0,0.8333,0.0128,0.0577,0.0064,0.0224,0.0,0.0,0.0,0.0673,2022
180106,46.600771,-112.040285,0.83922615076717,0.0203,1200.0,51646.0,1,38106.0,38106.0,55326.09,49400.0,47900.0,0.81,0.0065,0.0397,0.0129,0.0055,0.0028,0.0424,0.0028,0.0775,2022
180258,47.490713,-111.270604,1.0,0.197,1070.0,41324.0,1,26812.0,26812.0,48623.58,40300.0,37100.0,0.7258,0.0636,0.0439,0.0424,0.0303,0.0197,0.0,0.0303,0.0439,2022
180416,46.012868,-112.559511,0.89836888331242,0.0579,1172.0,21266.0,2,7400.0,22570.0,44236.75,59400.0,42400.0,0.818,0.0068,0.0314,0.0116,0.0327,0.0,0.0082,0.0286,0.0627,2022
180461,45.666726,-111.048812,0.73004001346247,0.1421,1176.0,22358.0,2,7528.0,28264.0,53207.14,49300.0,47500.0,0.8428,0.0045,0.052,0.0103,0.0149,0.0009,0.0532,0.0131,0.0082,2022
180489,46.859312,-113.982912,0.82137425687819,0.181,1126.0,20680.0,2,7432.0,28416.0,50573.68,43900.0,42000.0,0.7606,0.0094,0.0625,0.0112,0.0417,0.0011,0.0733,0.0088,0.0313,2022
180595,45.796522,-108.554075,0.80659025787965,0.0223,1097.0,42238.0,1,31335.0,31335.0,51454.11,43900.0,54400.0,0.7187,0.0347,0.0892,0.0037,0.026,0.005,0.0694,0.0508,0.0025,2022
181002,41.265361,-95.947811,0.77746409721369,0.0215,1300.0,58328.0,1,44524.0,44524.0,68443.5,66300.0,83400.0,0.7185,0.0215,0.0941,0.0777,0.0036,0.0022,0.055,0.0195,0.0079,2022
181215,40.701452,-99.098699,0.90322580645161,0.1231,1097.0,23361.0,2,7986.0,14238.0,51335.53,46400.0,42200.0,0.744,0.0259,0.1383,0.0098,0.0016,0.0012,0.0266,0.0469,0.0058,2022
181394,41.258769,-96.008516,0.87246343951932,0.1717,1100.0,19834.0,2,8136.0,21718.0,66043.01,49600.0,48600.0,0.6212,0.0729,0.1618,0.0472,0.0033,0.001,0.047,0.0371,0.0084,2022
181446,40.839098,-96.64831,0.81810929397686,0.0575,1246.0,49581.0,1,38334.0,38334.0,59199.51,52100.0,54600.0,0.8007,0.0261,0.0872,0.0279,0.0036,0.0006,0.0285,0.0071,0.0184,2022
181464,40.817598,-96.700508,0.81074542897327,0.0521,1219.0,24616.0,2,9872.0,27002.0,60976.73,53000.0,50000.0,0.7599,0.0277,0.0829,0.0364,0.0024,0.0006,0.0344,0.046,0.0098,2022
181738,40.774778,-96.651095,0.98476454293628,0.0366,1082.0,37738.0,1,26060.0,26060.0,60804.76,44800.0,60700.0,0.4913,0.1028,0.2422,0.0557,0.0035,0.0087,0.0401,0.0505,0.0052,2022
